Distance_km,Package_Weight_kg,Traffic_Level,Weather,Vehicle_Type,Stops_Count,Warehouse_Delay_Min,Driver_Experience_Years,Delivery_Priority,Delivery_Time_Hours
188.52097918598653,13.454431344927345,Medium,Clear,Van,7,43.49550615692666,8.407102232602528,Express,7.193705324025205
475.45572459213827,12.725450554063992,High,Clear,Van,4,63.56823392819151,13.72043615281822,Standard,17.846377917163775
366.53298302207975,45.359601735791315,Medium,Rain,Bike,2,66.21998871478232,10.116616070503028,Critical,16.105594090208637
300.1319251301242,12.852536892550551,Low,Clear,Truck,5,35.781677373485905,6.055995061573952,Critical,10.47741049803871
79.69728294033338,13.961511443367234,Low,Clear,Van,14,109.83364195443153,12.93570576786411,Standard,7.678415458787639
79.68527112742892,38.090213989689204,Low,Storm,Van,11,47.350220835270015,2.715943486739466,Express,5.790264545929174
30.925638859763332,22.76212220130173,Medium,Clear,Truck,11,10.238267936015538,8.163551364156262,Standard,4.073776066750702
433.3557205959177,38.94717256928147,Medium,Clear,Van,3,39.526117827259434,14.258255579156346,Critical,12.403927869238167
301.35527584811797,3.7356247994370695,Medium,Clear,Van,15,66.07758359257788,9.380964448206191,Standard,14.888394763156704
354.6201437424306,24.634774086832522,Low,Clear,Bike,14,51.945509597646684,12.254526757123143,Standard,11.872275937677948
12.251078159309618,2.1638732090724906,Low,Rain,Truck,9,36.4918896964148,9.803410883177893,Standard,4.056439273189651
485.01510637667315,3.601333571040049,Medium,Rain,Van,6,20.102173722896502,12.590562953068355,Standard,17.37741441054909
416.55643511861,45.36865394054834,Medium,Storm,Van,1,99.20391751106642,14.167318197678654,Standard,15.554645944973775
107.74487711778153,7.39264587032096,Low,Clear,Bike,3,119.55670284428207,4.093825912991052,Express,5.394073541197107
92.5488336691361,26.854823772623245,Medium,Clear,Van,12,42.897345355246436,2.544916218850783,Standard,7.552674800578316
93.33544590701004,20.849232328734974,Low,Rain,Truck,4,48.88642008030945,7.259861254988099,Standard,7.058032411248416
153.51263699384978,17.693494649812713,High,Clear,Van,9,76.07431533785007,10.527936402363238,Standard,10.683266384243971
263.3287029528544,45.04175061151999,High,Clear,Van,11,87.62076959458726,3.407868797733242,Standard,14.61491633590752
217.10861928377366,1.5802581403867304,Low,Clear,Van,6,50.083396502412995,0.06152175645250613,Standard,8.351136997558488
147.03211181862488,33.35758946569166,Low,Clear,Truck,4,109.06689445290876,5.14402673755058,Express,3.8652743450851066
306.702741571745,48.188024493570744,Medium,Clear,Van,1,69.40045876132561,14.532890032016827,Standard,10.851372002082163
71.46794260471684,28.228325081361177,Low,Rain,Truck,8,56.79485878668206,10.4245119090877,Standard,6.157637548372848
147.48803497053865,46.87271187063804,Medium,Rain,Truck,14,79.3673666133891,6.019881659118359,Standard,12.051721812975718
184.44819796025845,3.0867650246581766,High,Clear,Van,11,114.57244254865492,2.888641460202605,Standard,10.782437559047997
229.1228521400839,21.230269294170988,Medium,Clear,Bike,2,96.37351385849614,5.341345106321205,Express,8.752052332058016
393.0176287737208,13.377810652621532,High,Clear,Van,11,9.6015100115393,2.5475914995187194,Standard,15.64946382154338
101.43754351486315,36.675637766546124,Medium,Rain,Truck,15,43.21563973509536,1.5945873196942713,Standard,8.472045357425841
258.08875032997855,49.07420597961371,Low,Clear,Bike,11,59.112638769390614,13.601135588588308,Standard,8.623721609515712
297.0224552932971,13.198238090990266,Medium,Rain,Van,8,41.1695208040471,14.964755075632103,Standard,12.692790231063167
25.132305534558867,32.881642772966686,Medium,Clear,Truck,6,85.5215694955025,2.4617165939368544,Standard,6.560967063624372
304.5573362469163,10.305832821607137,Medium,Clear,Van,8,100.02095223419683,0.8178383831741959,Standard,11.398693846345791
86.92101359627118,28.48384760129469,Low,Clear,Van,6,89.10468594630623,4.945966607193185,Express,4.645049334178205
34.3956933066692,23.464658091072643,Low,Rain,Bike,5,118.77332798525165,6.9248877114212295,Standard,6.604470461736723
